task_id,precision,token_count,mean_nll,median_nll,mean_top1_margin,mean_topk_entropy,worst_decile_nll,status,expected_solution_sha256,generated_solution_sha256,model_sha256
Mbpp/3,q2,84,0.0083540939772049,-0.0,18.555377110918542,0.010417724781076085,8.362881490029394e-05,matched,2fa85745ff75464665811aadb8b967e58e996234766063169733e993ade17d22,2fa85745ff75464665811aadb8b967e58e996234766063169733e993ade17d22,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/300,q2,223,0.12455668297682776,0.0005504811997525394,8.79058027547472,0.2538701541757796,0.48643689751625063,matched,c180011c72115068bd2bb01ecf3ed267e9fb50efc1f97e63ce8eadb04ab0d823,c180011c72115068bd2bb01ecf3ed267e9fb50efc1f97e63ce8eadb04ab0d823,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/311,q2,512,0.13103969287408757,0.004656533477827907,6.614861907700056,0.28332694255618857,0.5329559564590454,matched,58bb9c1d028cbf7f71f05182ae78f8a968b6ecdd095ed509f94fb1dc1b7915d1,58bb9c1d028cbf7f71f05182ae78f8a968b6ecdd095ed509f94fb1dc1b7915d1,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/392,q2,81,0.0680942629693703,0.00015665327373426408,10.159267908397991,0.1536364038898953,0.21342240273952484,matched,9f8147a5528f7025ffd64dcad310bffcd854099913317497dcb266b6c186c3aa,9f8147a5528f7025ffd64dcad310bffcd854099913317497dcb266b6c186c3aa,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/419,q2,46,0.006686511002853518,1.1920930376163597e-07,14.914794206863462,0.025475022803873718,0.006342933978885412,matched,b237b9669ab7a069cf214f15ca4722b054beb3cfb27766b08b50853067b5f7f6,b237b9669ab7a069cf214f15ca4722b054beb3cfb27766b08b50853067b5f7f6,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/429,q2,51,0.06574809605030386,0.0001064595635398291,9.930247717674737,0.10943359819546176,0.25806790590286255,matched,e9652aa22490b464aa38207483b11337aeca4ca01b7a27d4a3aae5b47eda7134,e9652aa22490b464aa38207483b11337aeca4ca01b7a27d4a3aae5b47eda7134,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/456,q2,25,0.02121522756753734,8.344653679159819e-07,15.351949383295196,0.04097123868152515,0.000884550611954182,matched,5034eced522e5caea67044061443dd9d255a4205c31d3e2f5bd56043a28842d9,5034eced522e5caea67044061443dd9d255a4205c31d3e2f5bd56043a28842d9,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/458,q2,18,0.022722340918030506,5.960466893384364e-07,14.278454743527922,0.03686979501777895,0.0007470164040569215,matched,f2aed3712d35be935e50fd96829765796de8409df2e57f8bb0691bf4a269bfcf,f2aed3712d35be935e50fd96829765796de8409df2e57f8bb0691bf4a269bfcf,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/462,q2,74,0.03764741538037294,2.2649791162621113e-06,11.708144179344025,0.08734312135425092,0.09230896458029747,hash_mismatch,e58d22d212932246e8e8584b747497c42a7d0cb20a420e8607501e760a4335f0,01aa483a92eb024f26571eccbf21de7b50a2d994da432e041d0c42709fd1cf1b,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/476,q2,19,0.0026353554651577546,7.152560215217818e-07,14.632862001250798,0.01249165142306029,0.004703795397654175,matched,66789e0e1a0cf84bf03babbf9171314d2cb0ae992430578eeda774031a095c17,66789e0e1a0cf84bf03babbf9171314d2cb0ae992430578eeda774031a095c17,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/566,q2,56,0.03470346741908337,-0.0,17.371274258563584,0.06995961915838537,0.01088837836869061,matched,487d8c808894566acbeca847c084360b2f3e783905c3bdc63d512c0f5f45f545,487d8c808894566acbeca847c084360b2f3e783905c3bdc63d512c0f5f45f545,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/572,q2,17,0.020633044698011898,2.1457903130794875e-05,10.290418436212345,0.0711866374962412,0.05959559176117181,matched,0a18ed32cfdc3689eac2e17eb6c8c80c625449f3eb95edc4a420aa7fae0e9ec2,0a18ed32cfdc3689eac2e17eb6c8c80c625449f3eb95edc4a420aa7fae0e9ec2,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/578,q2,56,0.001214265057722232,-0.0,17.76599999061582,0.006241345012415122,4.106846608920023e-05,matched,407ce1f842fcb96d743a22b1e042d7e14c90e19586acb2c28f2f85e40c716609,407ce1f842fcb96d743a22b1e042d7e14c90e19586acb2c28f2f85e40c716609,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
